Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Georeference
177905,,Baldwin,Nassau,NY,11510,Residential,Long Island Power Authority,Purchase,03/05/2019,04/16/2019,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE7600H-US [240V],1,"S-Energy Co., Ltd.",SN360M-10,22,28432.8,,7.92,8129,POINT (-73.609748 40.654614)
67805,,Bethpage,Suffolk,NY,11714,Residential,Long Island Power Authority,Purchase,09/08/2016,12/05/2016,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies,SE6000 (240V) w/ -ER-US or A-US,1,SunPower,SPR-X21-345,20,28362,,6.9,9019,POINT (-73.484996 40.740895)
187264,,LARCHMONT,Westchester,NY,10538,Residential,Consolidated Edison,Purchase,05/29/2019,07/31/2019,Complete,Momentum Solar (dba for Pro Custom Solar LLC),Enphase Energy Inc.,IQ7-60-x-US [240V],11,LG Electronics Inc.,LG335N1C-A5,11,14726.25,807,3.69,3535,POINT (-73.756566 40.935552)
56994,5098-73291,Central Islip,Suffolk,NY,11722,Residential,Long Island Power Authority,Lease,09/17/2015,01/07/2016,Complete,NRG Residential Solar Solutions,Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),16,LG Electronics Solar Cell Division,LG275S1C-B3,16,14960.01,880,4.4,4526,POINT (-73.198651 40.783771)
259727,,White Plains,Westchester,NY,10607,Residential,Consolidated Edison,Power Purchase Agreement,11/17/2020,12/15/2020,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],10,LG Electronics Inc.,LG350N1C-V5,10,19040,392,3.5,2576,POINT (-73.809945 41.039855)
30614,4704-52462,Montauk,Suffolk,NY,11954,Residential,Long Island Power Authority,Lease,11/17/2014,03/02/2015,Complete,Tesla Energy Operations Inc.,SolarEdge Technologies,SE3000 (240V) w/ -ER-US or A-US,1,Canadian Solar,CS6P-255PX,14,19992,843,3.57,2918,POINT (-71.949914 41.042541)
10188,4355-94872,New Hyde Park,Nassau,NY,11040,Residential,Long Island Power Authority,Purchase,04/07/2016,08/29/2016,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,SunPower,SPR-X21-335-BLK,11,20568,737,3.69,5017,POINT (-73.680183 40.744867)
103865,,Ronkonkoma,Suffolk,NY,11779,Residential,Long Island Power Authority,Purchase,11/21/2017,02/12/2018,Complete,EmPower Solar,SunPower,SPR-E20-327-C-AC (240V),24,SunPower,SPR-E20-327-C-AC,24,25326.91,,7.85,5777,POINT (-73.116858 40.815879)
281973,,Fresh Meadows,Queens,NY,11365,Residential,Consolidated Edison,Purchase,12/22/2020,,Pipeline,,Altenergy Power System Inc.,YC600 [240V],7,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,14,16660,952,4.76,5667,POINT (-73.793039 40.739381)
153545,,Wantagh,New York,NY,11793,Residential,Long Island Power Authority,Purchase,09/26/2018,04/26/2019,Complete,BUILT WELL SOLAR CORP,SolarEdge Technologies Ltd.,SE10000H-US [240V],1,LG Electronics Inc.,LG360Q1C-A5,29,31465,,10.44,12481,POINT (-73.510289 40.683611)
239541,,Brooklyn,Kings,NY,11212,Residential,Consolidated Edison,Power Purchase Agreement,03/07/2020,07/01/2020,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7-60-x-US [208V],15,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 335,15,19999.5,1005,5.03,5692,POINT (-73.913254 40.661868)
236285,,Bronx,Bronx,NY,10473,Residential,Consolidated Edison,Lease,05/06/2020,,Pipeline,,Delta Electronics,M4-TL-US [240V],1,LG Electronics Inc.,LG330N1C-A5,15,15367,990,4.95,4891,POINT (-73.856919 40.819283)
290315,,Staten Island,Richmond,NY,10305,Residential,Consolidated Edison,Lease,02/05/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],14,JA Solar,JAM60S10-340/MR,14,14579,952,4.76,5316,POINT (-74.074837 40.597982)
275134,,Staten Island,Richmond,NY,10314,Residential,Consolidated Edison,Purchase,11/12/2020,01/19/2021,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],19,LG Electronics Inc.,LG345N1C-V5,19,30376.57,826,6.56,5543,POINT (-74.152798 40.604049)
239193,,Brooklyn,Kings,NY,11207,Residential,Consolidated Edison,Power Purchase Agreement,03/05/2020,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],26,LG Electronics Inc.,LG350N1C-V5,26,26572,946,9.1,6390,POINT (-73.893934 40.670047)
188933,,Massapequa,Nassau,NY,11758,Residential,Long Island Power Authority,Purchase,06/18/2019,09/04/2019,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],26,Solaria Corporation,Solaria PowerXT-360R-PD,26,37982.26,,9.36,10159,POINT (-73.460296 40.682417)
230601,,Mountain Lodge Park,Orange,NY,10950,Residential,Orange and Rockland Utilities,Purchase,03/26/2020,07/21/2020,Complete,"Empire Solar Solutions, LLC",SolarEdge Technologies Ltd.,SE3800H-US [240V],1,Hanwha Q CELLS,Q.PEAK DUO-G5 325,8,7500,601,2.6,2139,POINT (-74.194618 41.322198)
248305,,Sleepy Hollow,Westchester,NY,10591,Residential,Consolidated Edison,Lease,07/09/2020,09/17/2020,Complete,Sunnova Energy Corp.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,Hanwha Q CELLS,Q.PEAK DUO-G5 320,16,20940.8,1024,5.12,4979,POINT (-73.855087 41.078061)
153896,,Brooklyn,Kings,NY,11207,Residential,Consolidated Edison,Lease,09/11/2018,01/04/2019,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3000H-US [240V] [SI1],1,LG Electronics Inc.,LG350Q1C-A5,9,16113,718,3.15,3219,POINT (-73.893934 40.670047)
39034,4704-69536,Valley Stream,Nassau,NY,11580,Residential,Long Island Power Authority,Purchase,07/22/2015,11/11/2015,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-255PD05.18,15,21420,482,3.83,5051,POINT (-73.704051 40.674737)
248883,,Ardsley,Westchester,NY,10502,Residential,Consolidated Edison,Power Purchase Agreement,06/06/2020,08/26/2020,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7-60-x-US [240V],15,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 335,15,18190.5,1005,5.03,4689,POINT (-73.841978 41.011439)
250611,,Bronx,Bronx,NY,10467,Residential,Consolidated Edison,Power Purchase Agreement,08/06/2020,12/10/2020,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],4,LG Electronics Inc.,LG350N1C-V5,4,5544,280,1.4,1609,POINT (-73.870219 40.874901)
118622,,Flushing,Queens,NY,11355,Residential,Consolidated Edison,Purchase,04/27/2018,05/14/2018,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,LG Electronics Inc.,LG350Q1C-A5,12,18693,693,4.2,3161,POINT (-73.821798 40.751021)
45607,4704-96076,Massapequa,Nassau,NY,11758,Residential,Long Island Power Authority,Lease,04/15/2016,08/18/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,16,19344,832,4.16,5576,POINT (-73.460296 40.682417)
222890,,Islip,Suffolk,NY,11751,Residential,Long Island Power Authority,Purchase,11/20/2019,01/08/2020,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],23,"S-Energy Co., Ltd.",SN370M-10(B),23,32121.6,,8.51,10159,POINT (-73.213996 40.737542)
250895,,Island Park,Nassau,NY,11558,Residential,Long Island Power Authority,Purchase,06/18/2020,07/20/2020,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],17,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,17,23911.13,,5.78,6323,POINT (-73.653739 40.604544)
56847,4704-71376,Manorville,Suffolk,NY,11949,Residential,Long Island Power Authority,Lease,08/19/2015,11/11/2015,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),1,Canadian Solar,CS6P-250PX,16,22400,504,4,4318,POINT (-72.789301 40.85473)
8178,4704-69989,Brentwood,Suffolk,NY,11717,Residential,Long Island Power Authority,Power Purchase Agreement,07/28/2015,05/12/2016,Complete,Tesla Energy Operations Inc.,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,Canadian Solar,CS6P-250PX,16,22400,513,4,3976,POINT (-73.247736 40.78528)
40205,4704-79416,Centereach,Suffolk,NY,11720,Residential,Long Island Power Authority,Lease,10/29/2015,02/24/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-6000-OUTD-US-Z-A (240V),1,Hanwha Q-Cells,Q.PRO-G4/SC 265,29,43036,799,7.69,10045,POINT (-73.081448 40.871411)
54459,5098-64550,Mastic Beach,Suffolk,NY,11951,Residential,Long Island Power Authority,Lease,05/13/2015,02/04/2016,Complete,NRG Residential Solar Solutions,Enphase Energy,M215-60-2LL-S2X-IG,17,Trina Solar,TSM-255PA05.08,17,26342.3,867,4.34,5063,POINT (-72.844256 40.76555)
36195,5159-66973,Kings Park,Suffolk,NY,11754,Residential,Long Island Power Authority,Power Purchase Agreement,06/23/2015,02/29/2016,Complete,Level Solar,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,LG Electronics Solar Cell Division,LG300N1C-B3,10,11700,600,3,3880,POINT (-73.24573 40.885947)
250450,,Williston Park,Nassau,NY,11596,Residential,Long Island Power Authority,Purchase,06/15/2020,09/17/2020,Complete,Green Logic LLC,Enphase Energy Inc.,IQ7XS-96-x-ACM-US-y [240V],28,Sunpower,SPR-A415-G-AC,28,39861,,11.62,10896,POINT (-73.64339 40.75915)
206695,,Queens,Queens,NY,11412,Residential,Consolidated Edison,Lease,08/09/2019,01/09/2020,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3000H-US [240V],1,"LONGi Green Energy Technology Co., Ltd.",LR6-60PE-305M,11,12836.23,1006,3.36,3942,POINT (-73.759234 40.698064)
163257,,Queens,Queens,NY,11361,Residential,Consolidated Edison,Purchase,11/20/2018,10/01/2019,Complete,Sea Bright Solar,SunPower,SPR-E20-327-D-AC [240V],8,Sunpower,SPR-E20-327-D-AC,8,22482,785,2.62,2864,POINT (-73.7738 40.76347)
181023,,New Hyde Park,Nassau,NY,11040,Residential,Long Island Power Authority,Purchase,03/29/2019,05/16/2019,Complete,Sunrise Energy Corp.,Enphase Energy Inc.,IQ6-60-x-US [240V],18,"Jinko Solar Co., Ltd",JKM295M-60,18,22506.3,,5.31,6382,POINT (-73.680183 40.744867)
246695,,Brooklyn,Kings,NY,11236,Residential,Consolidated Edison,Purchase,05/09/2020,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-US [208V],9,LG Electronics Inc.,LG335N1C-A5,9,12391.65,603,3.02,3461,POINT (-73.902635 40.640299)
68682,,Lindenhurst,Suffolk,NY,11757,Residential,Long Island Power Authority,Purchase,09/19/2016,12/21/2016,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies,SE6000 (240V) w/ -ER-US or A-US,1,LG Electronics,LG365N2W-B3,19,32201,,6.94,7513,POINT (-73.374734 40.690158)
208119,,Levittown,Suffolk,NY,11756,Residential,Long Island Power Authority,Purchase,08/26/2019,02/21/2020,Complete,GreenLeaf Solar,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],35,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN330SA16,35,46140,,11.55,13954,POINT (-73.517198 40.725845)
66058,5149-000,West Hempstead,Nassau,NY,11552,Residential,Long Island Power Authority,Purchase,09/13/2016,02/15/2017,Complete,INNOVATED ENERGY SOLUTIONS,Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),36,AU Optronics,PM060M02_275,36,34650,,9.9,10295,POINT (-73.653385 40.693979)
165835,,Brooklyn,Kings,NY,11203,Residential,Consolidated Edison,Lease,12/14/2018,01/15/2019,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE6000H-US [240V],1,LG Electronics Inc.,LG330N1C-A5,15,19275,980,4.95,4435,POINT (-73.933487 40.649707)
159793,,Staten Island,Richmond,NY,10305,Residential,Consolidated Edison,Lease,10/23/2018,12/11/2018,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,REC Solar,REC290TP2 BLK,14,17839,719,4.06,3208,POINT (-74.074837 40.597982)
78306,,Leeds,Greene,NY,12451,Residential,Central Hudson Gas and Electric,Purchase,12/31/2016,02/08/2017,Complete,"Monolith Solar Associates, LLC",SolarEdge Technologies,SE3000 (240V) w/ -ER-US or A-US,1,Silfab,SLA280M,8,8624,896,2.24,2388,POINT (-73.943351 42.293189)
43843,5159-78703,Blue Point,Suffolk,NY,11715,Residential,Long Island Power Authority,Power Purchase Agreement,11/11/2015,04/20/2016,Complete,Level Solar,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,LG Electronics Solar Cell Division,LG300N1C-B3,15,22950,900,4.5,5976,POINT (-73.034699 40.750389)
60886,5098-86351,Babylon,Suffolk,NY,11704,Residential,Long Island Power Authority,Lease,01/11/2016,05/18/2016,Complete,NRG Residential Solar Solutions,Enphase Energy,M215-60-2LL-S2X-IG,16,Canadian Solar,CS6P-260P,16,13644.75,807,4.04,4731,POINT (-73.35823 40.718568)
225509,,Brooklyn,Kings,NY,11239,Residential,Consolidated Edison,Power Purchase Agreement,12/10/2019,01/24/2020,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],10,LG Electronics Inc.,LG345N1C-V5,10,13213.51,1035,3.45,3727,POINT (-73.875302 40.650081)
258195,,Jamacia,Queens,NY,11423,Residential,Consolidated Edison,Power Purchase Agreement,08/18/2020,10/08/2020,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],13,LG Electronics Inc.,LG350N1C-V5,13,12961.65,382,4.55,2557,POINT (-73.76856 40.716566)
160121,,Elmsford,Westchester,NY,10523,Residential,Consolidated Edison,Lease,10/24/2018,01/16/2019,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3000H-US [240V],1,REC Solar,REC290TP2 BLK,12,9477,679,3.48,2973,POINT (-73.816463 41.058021)
192674,,Queens,Queens,NY,11364,Residential,Consolidated Edison,Lease,07/02/2019,08/06/2019,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,REC Solar,REC290TP2 BLK,11,8368,603,3.19,2726,POINT (-73.760292 40.746405)
57287,5160-72985,Coram,Suffolk,NY,11727,Residential,Long Island Power Authority,Power Purchase Agreement,10/06/2015,03/24/2016,Complete,Vivint Solar Development LLC,Enphase Energy,M215-60-2LL-S2X-ZC,8,Trina Solar,TSM-260PD05.08,8,10296,416,2.08,2393,POINT (-73.005151 40.884363)
266158,,Port Jefferson Station,Suffolk,NY,11776,Residential,Long Island Power Authority,Purchase,10/01/2020,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],34,Solaria Corporation,Solaria PowerXT-370R-PD,34,35692,,12.58,11847,POINT (-73.047042 40.912552)
158437,,Flushing,Queens,NY,11366,Residential,Consolidated Edison,Lease,10/23/2018,11/21/2018,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,REC Solar,REC290TP2 BLK,14,18550,804,4.06,3642,POINT (-73.793124 40.727992)
175433,,Brooklyn,Kings,NY,11225,Residential,Consolidated Edison,Purchase,03/09/2019,,Pipeline,,SunPower,SPR-X20-327-C-AC [208V],15,Sunpower,SPR-X20-327-C-AC,15,34520.06,912,4.91,4147,POINT (-73.953905 40.663779)
245457,,Lockport,Niagara,NY,14094,Residential,NYS Electric and Gas,Purchase,05/14/2020,06/08/2020,Complete,"Solar Liberty Energy Systems, Inc.",SolarEdge Technologies Ltd.,SE11400H-US [240V],0,Sunpower,SPR-E20-327,4,5232,458,1.31,1160,POINT (-78.693851 43.157671)
